Police_Station	LongitudeY	LatitudeX
DURBANVILLE	-33.83389	18.64929
Dutywa	-32.10058	28.30797
DWAALBOOM	-24.72708	26.80808
DYSSELSDORP	-33.57618	22.4346
EAST LONDON	-33.02058	27.90288
EDENBURG	-29.73567	25.93462
EDENPARK	-26.3766	28.1281
EDENVALE	-26.14829	28.14885
EDENVILLE	-27.55535	27.67408
EENDEKUIL	-32.6894	18.882
EERSTERUST	-25.70602	28.3189
EKANGALA	-25.69136	28.74155
EKOMBE	-28.64461	30.8973
EKULINDENI	-26.0496	31.01682
EKUVUKENI	-28.4618	30.15365
ELANDS BAY	-32.31333	18.34069
ELANDS HEIGHT	-30.80423	28.22494
ELANDSKRAAL	-24.71591	29.41198
ELANDSLAAGTE	-28.40129	29.9588
ELDORADO PARK	-26.29105	27.90082
ELLIOT	-31.33022	27.84998
ELLIOTDALE	-31.96778	28.68342
ELSBURG	-26.24517	28.19877
ELSIES RIVER	-33.92441	18.56443
ELUKWATINI	-26.06088	30.78716
EMANGUZI	-26.99803	32.74348
EMATIMATOLO	-29.14101	30.82659
EMATSHENI	-28.69808	29.1555
EMBALENHLE	-26.54492	29.0747
EMPANGENI	-28.74586	31.88623
EMZINONI	-26.48456	29.44593
ENNERDALE	-26.40392	27.83225
ERASMIA	-25.81177	28.09258
ERMELO	-26.52267	29.98454
ESHOWE	-28.90237	31.45689
Esikhaleni	-28.87456	31.9048
ESIKHAWINI	-28.87487	31.90505
ESTCOURT	-29.00566	29.87219
ETWATWA	-26.11999	28.4642
EVANDER	-26.47065	29.10759
EVATON	-26.54172	27.85719
EVATT	-30.03691	29.35065
EXCELSIOR	-28.9382	27.06109
EZAKHENI	-28.59515	29.9278
EZIBAYENI	-27.99895	32.06748
EZIBELENI	-31.90484	26.95282
EZINQOLENI	-30.78476	30.12799
FAIRLAND	-26.14423	27.9375
FAURESMITH	-29.74649	25.31122
FERNIE	-26.41759	30.7737
FICKSBURG	-28.87051	27.87397
FISH HOEK	-34.13289	18.43492
FLAGSTAFF	-31.08187	29.49472
FLORIDA	-26.1693	27.9051
FLOUKRAAL	-30.99623	27.05484
FOCHVILLE	-26.4879	27.49416
FOLWENI	-29.99068	30.81185
FORT BEAUFORT	-32.77701	26.63555
FORT BROWN	-33.12978	26.61773
FOURIESBURG	-28.61588	28.20841
FRANKLIN	-30.3176	29.45103
FRANSCHHOEK	-33.9122	19.12143
FRASERBURG	-31.91087	21.5136
GALESHEWE	-28.71051	24.74277
GAMALAKHE	-30.79986	30.34167
GANS BAY	-34.57818	19.35139
GANYESA	-26.5997	24.18723
GA-RANKUWA	-25.59973	27.99901
GARIEPDAM	-30.5913	25.49178
GARIES	-30.56504	17.99024
GARSFONTEIN	-25.78853	28.2891
GELVANDALE	-33.91055	25.5503
GENADENDAL	-34.04481	19.5628
GEORGE	-33.95658	22.46031
GERMISTON	-26.21722	28.16174
GILEAD	-23.48766	28.65649
GINGINDLOVU	-29.02791	31.58145
